Question	Answer
I have change of clothes .	I brought a few outfits.
I have been well .	I have been thanks
I know who Christine Feehan is .	I haven't heard of her.
I am taking the bus today .	I'm driving
My job is well paid .	It only covers the bare essentials.
I enjoy biographies .	Well-written ones.
I like to garden .	I have an acre of garden.
I want to listen to screamo .	That doesn't sound like me.
I feel unchallenged at work .	There's always something new to learn.
I get paid well at my job .	Not enough to make the headaches worth it.
I like to read non fiction .	I don't enjoy non fiction.
I want to try a trendy new place .	I would rather go to Domino's.
I do I like the area .	I love it so far
That is saw .	That old beater?
I have read the Harry Potter books .	My mom wouldn't let me read them growing up.
A good meal will be a good idea .	All the time
I have ready Stephen King books .	I've seen the films.
I am interested in a new industry .	I'd like to stick to the same one.
I would ever sky dive .	I'm afraid of heights
I would like to keep doing the same thing .	I'd like something new.
Property prices am extremely high .	It depends on the neighborhood.
I like to eat fast food .	It's too greasy for me.
I like downtown .	I prefer the country.
I am happy .	I feel very thankful.
It will be more convenient .	Way more.
I like to see local music .	I always like to see new local bands.
I was sitting all day .	I was standing as well
You can have my number so we can reconnect later .	Text me your digits.
We should see that movie next week .	I want to do that with someone else.
I would like to meet my new boyfriend .	I'd love to meet him.
I am into going to festivals .	There are too many people.
I enjoy musicals .	I despise them.
I like self-help books .	Every so often.
Want to go see a movie .	Let's stay in and play video games instead.
I did go to Glastonbury last year .	I got sick and couldn't make it.
I am going out tonight .	I'll see after I hit the gym.
I am into spicy foods .	Hot food is always great.
I would like to go camping this weekend at the park .	sounds like fun
I like neo soul .	I don't think I've ever heard the genre.
I am happy to be switching jobs .	I can't wait to start the new job.
I have started looking yet .	I've been looking on and off for a couple of years.
I have through .	Nothing could be worse than my current position.
I like African music .	I wouldn't say so
I have friends that live around here .	Not anymore, they've all moved away.
I like being creative .	I am a knitter.
I want a place close to home .	That'd be great.
I like listening to blues .	The Blues Can is my local spot.
I am a fan of Applebees ' new dessert .	I love it
We should check out special events happening in the area during my stay .	That sounds like a good idea
I like to work out .	I lift weights every other day.
I have watched Avengers .	There are several in the series, but I've seen them all.
I will live in it .	I'll rent it out to someone else at first.
I like reading scary books .	I'm a big horror fan.
I like burger places .	Burgers are a favorite.
I like cultural delicacies .	I like to experiment with unusual tastes.
I get married yet .	I was a few years ago
I am looking specifically downtown locations .	We are open to citywide.
I want to meet up this weekend .	Let's meet at the cafe.
I have been a big music festival .	I went to Coachella.
I would like to walk out together .	Let's walk to our cars together.
I want a lift home .	I'll take a taxi.
I have energy .	Let's drink and dance.
I want to go grab a Brooklyn style pizza .	I want deep dish instead.
I will be at work tomorrow .	I am working from home.
I am looking to move there permanently .	I am planning to stay over the next 5 years
I have heard of Alt J .	I don't know that.
I would like to get together to chat sometime .	I am always free at lunch time.
I am the advancements .	they are doing okay
Music does help I relax .	It depends what kind of music I'm listening to.
I am a fan of Stephen King .	I've read most of his novels.
I am into dancing .	I like to dance
I like oldies .	The older, the better.
I like techno music .	I'm a huge techno fan.
I work in the area .	I work across town.
I am looking for a job at the moment .	Trying.
I am into museums .	I prefer those with art exhibits.
I have gone .	Not in the last few years
I read everyday .	I read the Times paper every morning.
I want to grab food .	If there's a takeout place nearby.
I have kids .	Three and one on the way.
I am in the mood for something sweet .	That sounds naughty.
My parents am well .	They're kicking!
I see our old friends .	I don't see anyone anymore
I did get a new haircut .	I decided to change up my look.
I want to head straight home .	Can we stay for one more?
I have read the Harry Potter books .	I have not.
I am a vegetarian .	I don't eat meat or fish.
I want to meet up later to catch up .	I need some alone time.
I would like to rest before we go out .	I could use a disco nap.
I am find reading about scary adventure exciting .	I don't enjoy being scared.
I have heard about the author J.K. Rowlings .	I read her Harry Potter books.
It is in a safe neighborhood .	The crime rate report is good
I work close .	I could walk there if I wanted.
A good meal will be a good idea .	Eating well is always a good time.
I have lived in a flat before .	I had a condo back in the 1980s.
I am adventurous .	I'm a bit of a daredevil.
I like reading fictional .	I refer real stories.
I have children .	I have one son.
I like fantasy books .	I haven't read any good ones.
I would prefer cakes or pies .	Apple pie is my favorite.
I know what time I have to leave to head back home yet .	My mom is going to call and let me know.
I am into modern art .	I love checking out the galleries.
I is my favorite singer/songwriter .	I love Patsy Cline.
I have tried the tex mex here .	The enchiladas are the best.
I have been a big music festival .	I've been to many large arts and music festivals in my lifetime.
I have plans tonight .	I'm packing for vacation.
I want to hang out later .	I'm busy.
I like to play at Open Mike sessions .	I'm shy
I like heavy metal .	I love listening to iron Maiden, ACDC and Rainbow.
It is in a good part of town .	It's in a bad area.
I am going out tonight .	I'm going to a wine bar.
Want to go grab food .	Let's do it!
I have have I been at my job .	It's been five years.
I am trying to keep to a budget .	I've been trying to watch my spending.
I need to get rest .	That would be good.
It is better than my old job .	It's an improvement on my old job.
My new apartment does have a good view .	That's not one of its selling points.
The new job does pay more .	It's the same salary.
Horror is too much for I .	I don't like to be scared.
I want fast food .	that would be handy
I want to get a pedicure .	I could use one.
It is close to a metro stop .	Right across the street.
I play instruments .	I haven't played any for a while
There is an opportunity to progress up the career ladder in my new job .	There's always room to grow.
I am a Gemini .	How did you guess?
I like fantasy books as well .	I can't say that.
I like being outside .	When the pollen count isn't high.
I would like to reconnect over dinner tomorrow .	I have band practice on Mondays.
I have been considering this for awhile .	I just decided on the weekend.
I am available .	That's too short of notice.
I am working here .	I work locally.
I live alone .	I live with my three children.
I would like to come for dinner .	Thank you but I already ate.
I have been having fun .	I haven't enjoyed myself so much in a long time.
I want to make dinner at my house .	I would love to
I prefer casual dining .	I do enjoy that
I have tried bowling at BigAl 's .	I'm not a fan of bowling.
It did take a while to get here .	I'm surprised by how fast it went.
I have missed me .	I wish you lived near me!
I have a high budget .	I need to be careful with money.
I am in the same job as last time YOU saw I .	I got a promotion.
I will be working here .	I already have started my job here.
I want to grab a bite to eat .	I am always down to eat.
I read books on an E-reader .	I prefer physical copies of books
I am a manager .	I was in my last job
I like my job .	Work is very satisfying.
I am happy at my present job .	I'm not satisfied.
I read books with illustrations .	I like books with illustrations when I was a child.
I am going to watch the game this weekend .	I might if I can get some friends together.
I like alcohol or wine with dinner .	A good Merlot makes the meal better.
I have joined the neighborhood app .	I joined the app yesterday.
I did grow up to be what I wanted to as a kid .	I don't remember now
I am looking for a job in New York .	I am trying to
I like fantasy books .	I enjoy books that give me an escape.
I like to garden .	Working outside is a nightmare.
I listen to music while I cook .	I crank it as loud as I can.
I like fancy food .	On special occassions
I am regular hours better for I .	I prefer working 9-5.
I am tired of working here .	I need something new.
I am into modern art .	When it has a lot of colors.
I have heard Lizzo new song .	I don't know who Lizzo is.
I like turkey .	I find it too bland.
I own an electronic reader .	I prefer books
I listen to Country music .	You can't avoid it when you live in Nashville.
I am into jazz .	If it's midcentury pop jazz.
I am would I be interested in going to a local band 's show this weekend .	I'm always interested in seeing new bands perform.
I am going to play golf today .	It depends on the weather.
I am happy to be switching jobs .	I could use more time with the kids.
I will wait in line if the food is good .	Depends how long the line is
I am familiar with Thai food .	I prefer Italian.
I want to order pizza .	If we can get pepperoni on it.
I have enjoy cooking .	I use a cookbook every night.
I did have something to eat .	I'm hungry after traveling.
I have a favorite singer .	I prefer instrumental music.
Everything is good .	Could be worse.
I think I will get a promotion there .	It is possible that I will
I do I .	I am into guitar.
I read a lot .	I only read on vacation.
We am meeting at my house .	If you're still up for it.
I did have a crush on me in high school .	I didn't even know who you were.
It is time for breakfast .	Not yet, but it will be in an hour.
I want something in a different field .	I'm looking for a switch.
I have met my new neighbors .	My landlord would be my neighbor.
I have been working for a long time .	I can retire in five years.
I like bowling .	It is something I enjoy
I prefer an office job .	that would be ideal
I have plans after work today .	I need a drink.
The trip was okay .	At least I got back alive!
I like country and western bands .	I like a few.
I am a musician .	I can strum a few chords.
I would be happier in this role .	I'd be less happy in this role.
I did have a crush on me in high school .	I was never into you in that way.
I want to try something completely new .	I'm willing to try.
I like doing solo activities .	I definitely prefer to workout on my own.
My mom is teaching at the university .	She has retired.
I watch sports .	I am not a fan of sports
You will see I at the office party tomorrow .	I wasn't planning on coming.
I am about going to the new local pub .	I like to support local business especially pubs
I will be in the area long .	I'm planning on staying a while.
I am from Nepal .	I've lived here my whole life.
I can afford an apartment .	I can afford a studio.
I need to learn new skills for this new job .	I am taking night courses.
It has been a long time since I 've seen our old houses .	I was back here a couple of months ago.
I am interested in cars .	I love cars
I can afford an apartment .	I'm rich, bro.
I will be able to stay for a week .	I should hope so
I am the owner of my home .	We do own it.
I have worked in my field for long .	I've worked in this industry all my life.
I would be happy to take a pay cut .	I wouldn't say happy.
I am willing to read this book together .	if you want to
I am in the mood for Chinese tonight .	That would hit the spot.
I have been to the art museum .	I went to one last week.
I have read Stephen King .	Every book gave me nightmares for weeks.
My fascination with reading about being self employed is my dream .	I'd rather read a mystery.
I did get all my work done .	I finished just in time.
I prefer to hold a book .	There is nothing better than the feel of a real book
I like Korean food .	I love bulgogi.
I like the city so far .	It's nice how close by everything is.
I like living in a flat .	Nothing wrong with it.
It is more in line with my skill set .	It's about the same as my current job in that respect.
I did get enough sleep .	Just barely.
I like Hip Hop music .	I like a lot of it
I am going straight home after work .	I'm going via the dry cleaners.
The trip was good .	The train was packed, what a nightmare!
I am new to the city .	It's my first time in the city.
My family is doing well .	They love life.
I prefer to relax on the weekends .	Saturdays and Sundays are full of activity.
I get a little too excited about elves and wizards .	I've had my fill after reading all the Harry Potter books.
I want to come over to my house on Sunday afternoon .	That would be lovely
I listen to music when I work out .	I move faster to the beat.
I have considered renting .	It's better to invest.
I am interested in arts .	Creativity is very important to me.
I want to go to happy hour .	I'm free for drinks tomorrow, but not tonight.
I am wanting to try something new .	I'd rather stick with what I know and love.
I have played sports .	I hurt my knee playing football.
I would like to get coffee .	I could use a java.
I play golf on weekends .	I've gotten into the habit this summer.
I am in contact with the other neighbors .	Sally was at my birthday.
Everything is good .	I just got promoted at work.
I am the owner of my home .	I am we bought it
I like classical music .	I enjoy Beethoven.
I have tried different ethnic foods .	I have not tired enough ethnic foods
I eat breakfast early in the morning .	I hardly eat breakfast.
I know how expensive property is in New York .	It can be pretty expensive, about $100,000 fr a small two bedroom.
I am in contact with anyone else we need from our childhood .	I keep in touch with a few close friends online.
I am ready to enjoy the weekend .	I'm going to relax all weekend.
I want me to give I a lift home .	That'd be great!
I enjoy water sports .	I can't swim.
I does relax I .	I find it very calming.
I am from Austin .	I was born and bred there.
I do have family in New York .	My mom lives in Soho.
I am tired .	I'm feeling energetic.
I am into gaming at all .	I've tried it; I could see myself getting hooked on it.
I have ready Stephen King books .	King is one of my top ten authors.
I like doing yard work .	I can't say I do
You have have this great autobiography , if that is the sort of thing I would be interested in .	It depends on how long it is.
I am working the graveyard shift .	I could never stay up that late!
I can do latin dances .	I have two left feet.
I wan na hit a country-western bar tonight .	It depends on how tired I am after work.
I did finish my big project .	I'll finish it Monday.
The beach is like to spend time .	I'd love to!
I want to go out to a restaurant .	I'd love to fuel up.
I want to go for a drink .	I am quite thirsty.
I want to find a restaurant .	Let's order a pizza.
I can drive .	I usually take the bus.
It is too far from where I live .	The office is nearby.
My work does keep I interested .	It's kinda boring.
I like New York .	It's where I've always dreamed of living.
I am interested in sushi today .	Depends on which restaurant you are thinking of taking me to.
I am vegan .	I never was vegan
I have been to the movies lately .	I've been every night this week.
I play other instruments besides this one .	I know the cords to the guitar.
I need a ride .	I would truly appreciate a lift.
Reggae is my thing .	More than any other music.
I will be buying the latest Stephen King story .	I wouldn't be a fan of his
I want to be downtown .	It's the most exciting place to live.
I like similar music to my parents .	I have their musical taste.
I want to eat spicy food .	That sounds delicious.
I own an electronic reader .	I use a kindle.
I listen to music every day .	Always have to have a personal soundtrack.
I have traveled out of the country .	I've been to Africa.
I am would I be interested in going to a local band 's show this weekend .	If they're country or hip hop.
I like fried chicken .	KFC has the best chicken.
I prefer novellas .	Novellas are good for a quick read.
I am up for going to the museum tomorrow .	If we can go in the morning.
I will be going to the big New Year 's Eve party this year .	It depends if I can arrange it.
I am partying this weekend .	I'm not into parties.
Work was stressful today .	It was the worst day yet.
I have a lift home .	I'm taking the bus.
I have family close by .	My kids are in the moving van.
I could airbnb it .	The condo association has a say in that.
I will live alone .	My friend will be moving with me.
I like reading .	I use my library card every week.
I am a fan of spicy food .	The spicier the dish, the better.
I enjoy sports events .	We all go to the football games.
I am going to see family this weekend .	My family lives too far away.
It is important to I .	Depends what the flat is like.
I have to travel far .	We live all the way on the other side of town.
I am into rap .	Rap is not my thing.
I get engulfed in the story .	I was bored by the story.
I have read the new Game of Thrones books .	I'm waiting for the last one to come out.
I live alone .	I am married.
I make art .	I paint with oils.
I have children .	I opted to just enjoy being an auntie.
I have read a book in a different language .	I can't speak another language, much less write one.
I am into musicals .	I've seen Phantom twice.
I am craving specific flavors .	Anything umami makes me happy.
My parents am living with I .	they moved ages ago
I was the last time we saw each other .	It must have been over twenty years ago.
I like living in a flat .	I'm pretty happy with that.
I work in tech .	that is part of what I do
I have been living here all this time .	We moved out of the state for a few years after high school.
My family is ok .	We've been better.
I like going to baseball games .	I love sitting behind home plate.
I want to hang out later .	If I can get rid of this migraine.
I am into classical composers .	That depends on the composer,
I am good at my job .	I like to think so
I want to go to the beach .	If I don't have to go in the water.
I have seen the newest releases on Netflix .	I don't have Netflix.
I am excited for the weekend .	Glad for some time off.
My parents live in the same house .	They sold it just last year.
I have stayed in touch with anyone from school .	I wish!
I have to work my other job this weekend .	I just have one job to do this weekend
I am craving specific flavors .	I'm hungry for something spicy.
I would consider somewhere cheaper .	I really have my heart set on New York.
I think suspense is worthwhile .	If it works in the novel.
I have family in the area .	All of my family members live in another country.
I read mystery novels .	I'm not too picky.
I like Jazz .	I listen to it often.
I have eaten something .	I had some really good mac and cheese at a diner.
I have taken a Uber .	I've ridden in one with friends.
I am visiting my parents this weekend .	I'll be helping my mom with yardwork.
Fast food is okay with I .	I prefer healthier food.
The commute is a long one .	It's three hours long.
I know anyone in the area .	Not yet
I find the weather pleasant .	It's better than the weather back home.
A priority is a priority .	I own a car.
I like bowling .	Depends on what the bowling alley is like.
I like murder mystery books .	I prefer comedies.
I did stay in the same neighborhood .	I moved out of state last year.
I like to grill out in the summer .	I love to do that
My job is located there .	I have relocated for my career.
I have played guitar for long .	I started 35 years ago.
I like to go to high-end place .	I'll go if I am feeling fancy.
I would like to go camping this weekend at the park .	It's supposed to rain.
I have ever been skydiving .	I wouldn't be able to handle it.
All of my luggage did arrive .	One of my suitcases got lost.
I like thrillers .	I prefer romantic comedies.
I have researched the areas I am interested in .	It's so easy to do now online.
I about Stephen King .	His memoir is good.
I have ever tried vegan cuisine .	I eat it often.
I have lived there my whole life .	Only since I was five.
The trip was peaceful .	It was uneventful.
I want to relax .	I want to see the city's major tourist sites.
I enjoy reading .	As a writer, it's part of my job.
I intend to live in the flat .	Apartments are my favourite housing style.
I like to see live music .	Concerts are too crowded.
I am glad the week is over .	As always.
The new company should be located near home .	It's important for me to live close.
I would like to go shopping together .	that would be nice
I have been to the park .	It's on my list of places to check out.
My parents live in town .	Just down the street.
I have been back to our old neighbourhood .	The past doesn't interest me.
My family is going skiing this weekend .	There was an emergency and the trip is cancelled.
I am connected to my local library .	I don't have a library ticket.
I did listen to the new Taylor Swift album .	I listened to the first few songs and then lost interest.
I have family from around here .	They are all around the city.
I want to go for a drink .	Tomorrow would be best.
There is enjoy doing .	I really like working out.
I want me to walk I to my car .	That would be kind of you.
I have read biographies lately .	I haven't had time to read a book in months.
I am okay to sleep on the sofa tonight .	I can fall asleep anywhere.
I does that sound like something I would want to do .	I'll try to get the time off.
I am outgoing .	You could say that.
I would like to hit the local game shop later .	I don't think we need anything.
Any fun plans this weekend .	I'm taking some work home.
I drive to work .	I take the bus.
I would like to exchange numbers .	Depends on when you want to meet again.
I enjoy going to festivals .	I think the crowds are a bit much.
I have a favorite restaurant .	Olive Garden is really good.
My last job did allow I a lot of autonomy .	it did in a way
There is a secure parking area .	I'll have to park on the street.
I play sports .	I'm not very physical.
I live close by .	I'm just visiting from out of state.
A view is important .	Dining with a view is always nice.
Anyone else does .	I didn't tell anyone.
I am a Gemini .	I think I'm the other star sign
I want to go to the library to browse .	I'd rather go to a bookstore.
I did know we have a world-famous zoo .	Are there pandas there?
I like horror movies .	Only if they aren't full of gore.
I want to grab a coffee one of these days .	that would be good
I need to stay over at my place .	I have a room booked.
I like crime novels .	I enjoy good crime novels
I want to go to the park .	If we can sit in the sun.
I am a sushi fan .	I'll eat if if I can listen to good music at the same time.
My boss is nice .	she is okay most of the time
I have to work tomorrow .	I have a few things to get done.
I realize how much money that 's going to be .	I've done my research.
I would like to get together sometime .	I've been really busy lately.
I would like to exchange memories from the past .	I have work I need to do.
I did alone .	I did indeed
I go out on the weekends .	most of them I do
It is close to a subway station .	It's a block away.
I am tired .	I'm feeling energized.
I like romantic stories .	If they're modern.
I have travelled internationally .	We have a place in Paris.
Everything is good with I .	Life has been great.
I am considering a career change .	I've been looking for jobs on LinkedIn.
I enjoy reading .	I love to read
I like reuben sandwiches .	I prefer BLTs.
I am good at making new friends .	I like meeting new people.
I enjoy festivals .	There are too many people there.
I enjoy sports .	I have always been very athletic and competitive.
I am in touch with childhood friends .	I do talk to a few of our old friends.
I can wait for me to print .	We can be a little late.
The flat is in Manhattan .	It is in the middle of Manhattan
I enjoy eating spicy food .	I can't handle it.
I am new to the city .	We arrived here yesterday.
I find it too far to commute .	That's never been an issue.
I would be interested in a pool party .	It sounds like fun
My department is busy this time of year .	It's been quite overwhelming lately.
I have gone to Coachella .	Not for a few years now
I am a vegetarian .	I am the opposite of a vegetarian.
I would like to attend the play at the theater .	It looks great.
I want to go to a concert with me .	I would love to
I am into detective thriller series .	I like some
I am a member of a club or group .	I'm joining a book club at the library.
I have a high budget .	I'm keeping the budget tight.
I enjoy flying .	I've never been off the ground.
I will be deciding about switching jobs soon .	It depends how my current job goes
I am eligible for promotion .	I've been due for a promotion for about a year.
I am trying to keep to a budget .	thats the plan
You can join I .	I would like that.
I have learned how to play an instrument .	I'm not good, but I play the flute.
I will be spending Christmas in Calgary .	I can't wait to play in the snow there on Christmas Eve.
I am from out of state .	Our move took us three days of travel.
I like jazz concerts .	I do the Jazz fest.
A good plot is important .	It is very important
I like the Midtown area .	It seems to be the best.
I like water sports .	Only swimming.
I am single .	I've been married for 20 years!
I am feeling up to going to the night club tomorrow .	I can't wait.
I like books based on true events .	History is the coolest!
I go hiking .	All the time!
A basement is flat okay .	I t will do just fine
I am into science fiction .	I've read science fiction my whole life.
The flat move-in is ready .	It's turnkey.
I enjoy reading classics .	Depends which classic
I will live in Manhattan .	I'll be right along Central Park.
I think I 'll like it there .	I hope so.
I have ever been skydiving .	How do people make themselves jump out of a plane?
I am up to getting out .	I could use some fresh air.
I sleep with the lights on .	Only a night light.
I like live music .	I go to punk rock shows.
I am in the same job as last time YOU saw I .	I'll be working there forever.
I did have a good week .	I've had a great week.
I have improved my English skills since childhood .	My English is much better.
I have ever been to a Taylor Swift 's concert .	I'd love to go!
I did bring comfy clothes .	Nothing but jeans and shirts..
I would like to go hiking .	I'm busy.
My family is doing okay .	Our dog passed away.
I get bored at my current job .	The work is monotonous.
I want to try that new seafood place downtown .	If the fish is fresh.
I like reading self help books .	There is always something to learn.
I have been well .	I'm fighting cancer.
I have tried Valentina 's BBQ .	I can't eat meat.
I have plan for the weekend .	We're chilling.
I would like something hot .	I am cold.
I like travelling up town .	Depends of where you want to go.
I like scary contents .	Being scared is fun.
I have read The Education .	Maybe I will someday.
I like crime thriller books .	I prefer wholesome content.
I feel I get paid enough .	I would like a higher pay
The salary is higher .	it is a little bit
I like working nights .	I'm more alert during the day.
I am into romantic novels .	Never read one, they don't interest me.
I am a fan of classics .	They're deemed classics for a reason.
I have been to college/university .	I graduated from college 10 years ago.
The Harry Potter series is of interest to I .	It's so done.
I have been to a concert this month .	I went to my cousin's piano recital last week.
I want to go dancing tonight .	I pinched my back.
I am a traveler .	I'm a homebody.
I like going to the library .	I think they are some of the best public resources we have.
I am enjoying my time here .	I am, but it's going too fast.
I like crime thriller books .	Only when they have good plot twists.
It can have a heavy bass .	The more bass, the better.
I would like to go to a restaurant .	It depends on what type of food they serve.
I have a place to stay .	I'm staying in a motel.
I have kids .	We haven't started having kids yet.
I would move to a different state .	I'm open to it.
I did remember an umbrella .	Shoot I left mine at home.
I am teaching .	I do freelance work from home now.
I have special diet .	I'm on the Keto diet.
I have played instruments before .	I play the piano
I can wait for me to print .	I've got to run.
I did learn a instrument as a child .	I always wanted to learn piano!
I would like to go shopping together .	If we can go to the mall.
I like staying busy at work .	I like making real contributions.
I am in the mood for Chinese tonight .	Only if the restaurant is nearby.
I did research the pros and cons .	I even made a chart of pros and cons.
I am happy .	I'm excited to have a break.
I have taken big vacations lately .	I went to Mexico this past summer.
I like concerts .	If I can get the time off.
I am a fan of jazz music .	I'd love to go to a jazz bar.
I sleep in late .	Sometimes I do
I did have a good week .	It went by very quickly.
I want to eat at a restaurant .	Depends on the cuisine.
I want to grab something to eat .	I'm joining my family for dinner tonight.
I do I want to join ? .	I don't like gambling.
My trip here was okay .	The flight was delayed.
I need a ride anywhere .	Drop me off at the bar.
Something I enjoy is something I enjoy .	I like being at the beach.
I did hear about that popular band coming to town .	I'm going to buy tickets.
I enjoy watching movies .	I usually catch all the Oscar nominees.
It does overlook Central Park .	That's the best perk.
I have dietary restrictions .	I'm allergic to nuts.
I did find this week good .	I accomplished a lot.
I would like to come around for dinner .	That would be lovely.
I live in town .	Just around the corner.
I would like to do a cookout sometime .	If we can use my new grill.
I have been well .	I was sick last week with a cold.
I do I do for a living .	I write books.
I want to find a restaurant .	Thats a good idea
I am heading out .	I just have to send a few more emails before I go.
I like burgers .	Burgers are good when they are grilled.
I like hip hop music .	Hip hop is the only genre I don't like.
I have read the new Stephen King book .	Which one?
I play the piano .	I wish I did.
I like going to concerts .	I prefer to stay at home and garden.
Any pets pets .	just the one
I have read of Tolkien 's works .	Lord of the Rings was pretty tough to get through.
I have seen the newest releases on Netflix .	I can't sit still for shows.
I will be required to relocate .	I can commute for a while but not long
I play instrument .	I'm only good at the ukelele..
I have made a list of things I 'd like to do .	I've been planning this trip for weeks!
My job is a manual labor .	It's mostly office work.
I did lived .	It wasn't my favourite place
I did enjoy the train ride up here .	Teens were wreaking havoc the whole time.
I am interested in trap music .	It's not really my thing.
I is my favorite singer .	Michael Jackson
I have bought a romance novel .	I'm not a fan of romance stories.
A nice house have yet .	It's in the best neighborhood.
I did serve in the military .	The army has served me well during my life.
I like non-fiction .	I prefer fiction
I know what happened to Jimmy after he moved away .	Heard he went into the Air Force.
I is my schedule for next week .	I'm working Sunday to Thursday next week.
I read a lot .	I read once or twice a week.
There am many people who come and go .	The turnover rate is bananas.
I enjoy a quiet restaurant atmosphere .	If I'm in a chill mood.
I am a fan of sports .	I enjoy soccer.
I did working in a corporate environment .	I like variety
I want to grab a drink .	I could go for a meal instead.
You can catch a ride with I .	of course you can
I am concerned about my salary .	Only when the cost of living increases.
I did take my dream vacation .	We were planning on going to Hawaii at the end of this year.
I am happy with my work life balance .	It's hard to balance everything.
I like to be active during weekends .	I lay around in bed every weekend.
I would like to go hiking .	I'd rather go to the movies.
I did park in the parking garage .	Today I took the subway to work.
I have plans .	Going spelunking this weekend.
I am satisfied with how things have turned out .	I'm content with the life I have.
I want to get fried chicken with me .	I don't eat meat, I'm vegan.
The neighborhood is good .	It's up and coming.
We should check out special events happening in the area during my stay .	I'd enjoy that.
I would like to take the spare key to my house .	That would be really helpful.
I like biryani .	Is that Indian food?
I am a fan of Applebees ' new dessert .	I haven't tried it
I am getting out of here .	I might stay for overtime actually.
I like water sports .	I like most of them
I have checked the crime rate in that area .	It's lower than in some neighborhoods.
I am into art .	I like music as well as art.
I have been to the 360 amphitheater .	I want to go
I am allergic to garlic .	I put garlic on everything.
I am glad .	It is very nice to visit.
I will be working in an office .	I will be!
I prefer sit-down restaurants .	I love walking and eating.
I feel like having a warm meal .	A warm meal sounds lovely.
I have tried Valentina 's BBQ .	I'm not a fan of BBQ.
My move was job related .	I wanted a quieter neighborhood.
I have read the new Stephen King book .	I've only read Carrie.
I have been well .	I'm doing awesome.
I am open to having roommates .	Living alone is my only option.
I can open the door for me .	Let me get that.
I have been having fun .	This is a blast.
I would like living uptown .	I'd prefer to live near Wall Street.
I follow the best sellers lists .	I don't have the time to keep up with all the best seller lists.
I have through .	It has been on my mind for some time now.
I would like to come eat with me and my friends at our table .	I'm on my way out.
Want to go get a drink ?? .	I'm thinking about a big glass of wine.
I have kids .	I'm still holding out.
I like being active .	I'm a obsessive cyclist.
I have googled places .	I usually do online reach before I travel.
I am concerned about my salary .	Our grant should cover it for 5 years.
I like rock music .	Anything pre 1960 suits me.
We shall go shopping now .	I need another ten minutes.
I am interested in a loft .	Lofts are too big.
I want to leave the job .	I would rather stay for now
I want to see a movie together .	I would love to
I have bought a romance novel .	My mother-in-law reads those books, so I could get them from her if I want them.
I have read romantic books lately .	I love romantic stories.
I did bring the beer .	I picked up a six-pack of IPA.
I did read Tolstoy in school .	War and Peace was hard to read.
I remember what we got up to as children .	I don't have a very good memory anymore.
I am a fan of classic literature .	Classic literature is classic for a reason.
I live in the same neighborhood .	You know it.
I am a fan of live music .	Concerts are too noisy.
I have cash saved up for a down payment .	I have a little bit.
I would want to go to the beach this weekend .	I am afraid of the ocean.
I work at the supermarket .	I left there a few years ago.
I did move from the East Coast .	I moved from California.
I want to catch up over breakfast .	I already ate.
I did spend a lot of time building my career .	I spent years building this career.
My parents am living in my childhood house .	They'll never leave.
I have seen the new Stephen King movie .	I've heard good things.
I want to grab a bite .	Maybe next week.
My job is related to IT .	I'm useless with computers.
I am planning on working in the city .	I'll be working there in the city.
I am in on Monday .	I have a meeting at 9am.
I can remember something that I absolutely loved reading .	Anything I read in English Lit was great.
I like to be active .	If I don't get out and move around I get anxious.
I am single .	I'm seeing someone.
I have been to the reggae fest here .	I don't listen to reggae
I have have things been .	Not too good.
I am going to be the boss .	I'll have a managerial role.
We shall go out for a drink tonight .	Can we meet at 8pm in the Dee View Inn ?
I am about booth seating .	I love not seeing as many people around me as we eat.
Enjoy reading books that make I laugh enjoy reading books that make I laugh .	David Sedaris is my favorite author.
I read fiction authors .	My favorite authors are fiction.
I am a fan of bars .	I love to drink beer at pubs.
Wan na eat burgers .	Only if it's the best burger in town.
I want to get pancakes .	sounds like a plan
My work is demanding .	It is more mentally demanding
I like downtown .	it seems very cool
I have tried .	Their Pad Thai is amazing!
I like blueberry pie .	I have to try it sometime
I will work on the weekends .	I plan to take the weekends off.
I am in the mood for oysters .	I can't stand the texture of them!
I am into salsa dancing .	I've only been to one salsa class.
I would want to go to the beach this weekend .	I'd really prefer to stay indoors.
I did think Cinderella was entertaining .	For a children's movie.
I would like to go biking Saturday .	I have to work this weekend
I have pets .	I want to get a fish.
I like Harry Potter .	I preferred the Hunger Games.
The neighborhood does have a good reputation .	The people were warm when I visited.
I want to grab a bite to eat .	I'm famished.
I have had allergies to food .	I can't eat oysters.
I enjoy Mexican cuisine .	When it's not too spicy.
I want to check out new music .	I'm always interested in new things.
I have been keeping well .	I am really happy with how I have managed to maintain my exercise goals.
I have places in mind .	I don't care where we go.
I like crime thriller books .	Only if it's a Grisham novel.
I have read Khalid Hoseni yet .	I haven't gotten round to it yet
I would like to join me for coffee .	That's a good idea
I have have great BBQ .	A few times
I am familiar with this neighborhood .	I'm getting to know it
I have been downtown yet .	I went downtown before I came here.
I would want to go to see Garth Brooks tomorrow .	I'm not familiar with any of his music.
I like Chinese rice .	I always order fried rice.
I like Michael Buble .	I find his music boring.
My parents am alive .	They are hanging in there.
I am willing to visit a museum with me .	Only if it has mummies on display.
I am vegetarian or vegan .	I sometimes eat shrimp.
I am going to the gym today .	I workout everyday.
